Municipio,Brechas de Afiliación,Brechas de Educación,Brechas de PEA
001 Abasolo,-0.037476664,0.000992119,0.368384896
002 Acámbaro,-0.036374362,0.000991024,0.305082827
004 Apaseo el Alto,-0.034932308,-6.25089E-05,0.305423943
005 Apaseo el Grande,-0.020246972,0.000511799,0.284275729
006 Atarjea,-0.020305154,-0.001054326,0.388487704
007 Celaya,-0.022732878,0.002755934,0.23195865
009 Comonfort,-0.038174166,-0.000139079,0.313816626
010 Coroneo,-0.029740969,-0.002970148,0.304704072
011 Cortazar,-0.018198987,0.000121071,0.287812517
012 Cuerámaro,-0.037698441,0.00054497,0.362341459
013 Doctor Mora,-0.023511821,-0.002603525,0.359574298
014 Dolores Hidalgo Cuna de la Independencia Nacional,-0.034438966,-0.000124419,0.302058933
015 Guanajuato,-0.035983624,0.001547946,0.22620211
016 Huanímaro,-0.02303845,0.001386244,0.390745406
017 Irapuato,-0.021309064,0.001785597,0.243903171
018 Jaral del Progreso,-0.031924596,-0.000289721,0.33255245
019 Jerécuaro,-0.033353881,-0.001875195,0.402554794
020 León,-0.036806821,0.002667592,0.238318007
008 Manuel Doblado,-0.04427953,0.000636159,0.363095158
021 Moroleón,-0.021929606,0.003823979,0.181179179
022 Ocampo,-0.13642183,-0.000306027,0.441799091
023 Pénjamo,0,0.000924915,0.358049146
024 Pueblo Nuevo,-0.008235087,0.000392669,0.384159229
025 Purísima del Rincón,-0.049675593,0.000511992,0.268792197
026 Romita,-0.038090203,0.000652672,0.421680117
027 Salamanca,-0.021255372,0.002695727,0.277650764
028 Salvatierra,-0.028721624,0.00179138,0.319261292
029 San Diego de la Unión,-0.044071515,-0.001037819,0.390202845
030 San Felipe,-0.038908192,-0.000406019,0.392918907
031 San Francisco del Rincón,-0.046304269,-0.000329846,0.268251923
032 San José Iturbide,-0.015062748,0.001019205,0.297518482
033 San Luis de la Paz,-0.039919815,0.000489582,0.317240818
003 San Miguel de Allende,-0.038020827,0.000382818,0.260489704
034 Santa Catarina,-0.035247108,0.000238095,0.255225318
035 Santa Cruz de Juventino Rosas,-0.027425204,0.000183919,0.343184113
036 Santiago Maravatío,-0.040960392,0.000444308,0.301259545
037 Silao de la Victoria,-0.030181353,0.000284256,0.308588538
038 Tarandacuao,-0.030536207,-0.00130258,0.330493466
039 Tarimoro,-0.03130864,0.000157356,0.353053546
040 Tierra Blanca,-0.044169733,-0.00098381,0.324899785
041 Uriangato,-0.022719756,0.002490176,0.203726323
042 Valle de Santiago,-0.036669588,0.001360989,0.3721351
043 Victoria,-0.04862407,-0.000234845,0.310925207
044 Villagrán,-0.019580472,-0.000730954,0.302320785
045 Xichú,-0.018143235,-0.001461274,0.387257278
046 Yuriria,-0.030300199,0.002498494,0.345498206
